ID câu h?i,?áp án
1,C
2,D
3,B
4,B
5,B
6,A
7,A
8,C
9,C
10,C
11,C
12,C
13,B
14,B
15,D
16,B
17,B
18,B
19,C
20,B
21,B
22,B
23,B
24,B
25,B
26,B
27,C
28,B
29,A
30,B
31,B
32,A
33,A
34,C
35,B
36,B
37,A
38,A
39,B
40,C
41,B
42,C
43,A
44,B
45,C
46,C
47,B
48,B
49,B
50,C
51,B
52,A
53,C
54,B
55,A
56,B
57,B
58,B
59,C
60,C
61,C
62,B
63,B
64,A
65,B
66,B
67,A
68,B
69,D
70,B
71,A
72,B
73,B
74,B
75,B
76,B
77,B
78,B
79,B
80,B
81,B
82,B
83,B
84,C
85,C
86,A
87,B
88,C
89,C
90,C
91,D
92,B
93,A
94,A
95,B
96,A
97,A
98,C
99,B
100,B
